atoms;weight;tnumber;id
375960;94.77;pT3;1rug
375960;94.81;pT3;1ruh
375960;94.81;pT3;1rui
375960;94.45;pT3;1ruj
481140;120.8;pT3;1rvf
246480;64.79;1;1s58
1004700;258.23;7d;1sid
1004700;260.23;7d;1sie
270720;85.9;3;1smv
63660;84.92;1;1stm
958980;238.91;7d;1sva
357180;92.86;pT3;1tme
375600;94.32;pT3;1tmf
139680;49.58;3;1tnv
215760;53.21;3;1u1y
3487800;789.51;13;1uf2
447780;109.34;pT3;1upn
386160;471.75;pT3;1v9u
87240;21.51;1;1vak
83880;21.47;1;1vb2
87240;24.5;1;1vb4
396960;98.02;pT3;1vba
396960;98.04;pT3;1vbb
396960;98.01;pT3;1vbc
397920;98.55;pT3;1vbd
396600;97.96;pT3;1vbe
376080;94.87;pT3;1vrh
245640;60.43;3;1w39
2286960;557.11;pT25;1w8x
190140;47.19;1;1wcd
271560;86.17;3;1x33
266340;86.1;3;1x35
87720;25.26;1;1x36
217920;58.99;1;1x9p
216300;61.41;1;1x9t
69600;494.04;1;1yc6
259020;3693.94;1;1z14
259680;3552.72;1;1z1c
399420;97.92;pT3;1z7s
522720;118.58;pT3;1z7z
1084260;258.38;4;1z8y
216900;52.8;3;1za7
313620;81.92;pT3;1zba
313620;81;pT3;1zbe
206760;41.22;3;1zdh
210660;53.3;3;1zdi
193740;41.17;3;1zdj
222300;41.13;3;1zdk
188580;2623.38;3;1zse
188640;47.53;3;2b2d
211500;53.29;3;2b2e
212820;750.13;3;2b2g
456240;134.95;3;2bbv
208560;1455.55;3;2bny
307200;73.09;1;2bpa
218760;53.26;3;2bq5
199620;41.17;3;2bs0
202260;41.7;3;2bs1
2943660;522.49;13;2btv
217380;69.12;3;2bu1
85620;21.86;1;2buk
214380;53.37;3;2c4q
237960;53.29;3;2c4y
240900;53.37;3;2c4z
229980;53.34;3;2c50
232020;53.92;3;2c51
212040;873.04;1;2c6s
216300;302.19;1;2c9f
214080;291.09;1;2c9g
260820;61.56;1;2cas
189720;987.25;1;2df7
329280;116.55;3;2e0z
900540;147.39;7l;2frp
902400;215.87;7l;2fs3
900420;215.63;7l;2fsy
886620;215.63;7l;2ft1
575580;215.63;7l;2fte
255600;60.62;3;2fz1
259500;61.49;3;2fz2
279480;67.16;4;2g33
277320;67.16;4;2g34
247740;58.77;1;2g8g
779280;184.93;3;2gh8
827820;215.36;7l;2gp1
192540;978.69;1;2gsy
376020;94.82;pT3;2hwb
376020;94.85;pT3;2hwc
373380;111.71;pT3;2hwd
373380;92.84;pT3;2hwe
373380;92.87;pT3;2hwf
210240;42.41;3;2iz8
209220;53.25;3;2iz9
206340;48.85;3;2izm
206700;804.07;3;2izn
271560;76.57;3;2izw
376140;91.94;pT3;2mev
173700;53.87;3;2ms2
398820;97.92;pT3;2plv
454620;136.78;3;2q23
454800;121.03;3;2q25
265680;58.55;1;2qa0
277500;70.99;4;2qij
997560;273.84;4;2qqp
376080;94.82;pT3;2r04
376080;94.8;pT3;2r06
376080;94.83;pT3;2r07
132720;221.97;3;2r6p
376080;94.87;pT3;2rm2
376140;94.5;pT3;2rmu
376080;94.84;pT3;2rr1
376080;94.84;pT3;2rs1
376080;94.85;pT3;2rs3
376080;94.81;pT3;2rs5
398520;121.97;3;2tbv
494040;116.89;2;2vf1
184320;1489.58;3;2vf9
279540;82.87;3;2vq0
1586160;397.75;pT21;2w0c
171720;53.21;3;2w4y
171720;5165.2;3;2w4z
330360;85.9;pT3;2wff
321840;85.02;pT3;2ws9
238560;59.97;3;2wws
312600;81.91;pT3;2wzr
391560;96.41;pT3;2x5i
322320;77.46;pT3;2xbo
1347600;320.7;4;2xfb
1345200;379.34;4;2xfc
257700;82.01;1;2xgk
240060;60.84;3;2xpj
769860;256.13;7l;2xvr
237300;63.27;pT3;2y26
1867200;483.12;4;2yew
422400;107.51;3;2zah
215400;51.61;1;2ztn
219480;59.18;1;2zzq
153060;256.13;7l;3c5b
375180;94.75;pT3;3cji
579180;215.63;7l;3ddx
386100;120.58;pT3;3dpr
815400;208.17;7l;3e8k
495360;117.23;pT3;3epc
493440;77.46;pT3;3epd
489120;79.8;pT3;3epf
355140;93.18;2;3es5
192540;48.51;1;3fbm
1568580;482.19;13;3gzt
3238920;517.69;NA;3gzu
215340;54.45;1;3hag
192480;243.14;1;3ide
1356840;333.71;7d;3iyj
4815180;707.82;2;3iyl
190080;93.66;2;3iym
508860;94.34;pT3;3iyp
2581740;770.02;13;3iyu
946320;228.49;3;3iyw
1921440;566.89;NA;3iz3
769860;256.13;7l;3izg
1932540;517.48;2;3izx
1908240;453.05;4;3j0c
1922820;1887.93;1;3j17
702180;181.13;3;3j1p
248160;59.61;1;3j1q
323820;88.04;pT3;3j22
3268740;773.9;pT27;3j26
784800;189.81;3;3j27
277740;85.59;4;3j2v
1855680;441.69;4;3j2w
2672940;635.32;pT31;3j31
450900;108.95;1;3j3i
1443960;343.27;7l;3j40
673560;299.14;3;3j42
248220;106.15;1;3j4p
1479180;356.47;7l;3j4u
453600;111.91;pT3;3j69
456540;118.61;pT3;3j6a
1032840;320.67;7d;3j6r
441360;104.48;7d;3j7e
996600;254.37;7d;3j7g
216780;61.23;3;3j7l
217080;61.23;3;3j7m
217080;61.23;3;3j7n
952380;276.46;7l;3j7v
1069740;256.13;7l;3j7w
1069740;256.13;7l;3j7x
539460;119.37;pT3;3j8f
1415640;353.59;7d;3j8v
1402920;354.59;7d;3j8w
1829880;355.33;7d;3j8z
323700;137.67;pT3;3j91
539460;86.66;pT3;3j9f
114900;111.7;pT3;3jau
1935000;517.08;1;3jay
1934640;518.95;NA;3jaz
1934640;517.13;NA;3jb0
1934640;518.93;2;3jb1
1935000;1870.35;2;3jb2
1935000;1482.51;NA;3jb3
316320;92.77;pT3;3jb4
913920;229.36;7l;3jb5
245880;58.96;3;3jb8
795180;346.08;7d;3jba
456540;140.66;pT3;3jbc
453600;90.11;pT3;3jbd
457740;94.01;pT3;3jbe
455820;133.09;pT3;3jbf
454200;89;pT3;3jbg
93420;22;1;3jci
364320;89.27;1;3jcx
383100;120.4;pT3;3jd7
249240;1646.37;1;3kic
249240;1646.37;1;3kie
3246240;434.2;NA;3kz4
437940;110.71;3;3lob
741600;175.78;3;3m8l
3242880;416.87;NA;3n09
143760;37.61;1;3n7x
371760;90.19;pT3;3nap
247200;817.01;1;3ng9
246660;47.72;1;3ntt
247020;60.11;1;3oah
197400;54.99;1;3p0s
513780;296.01;7l;3p8q
519240;257.93;7l;3qpr
95640;26.52;1;3r0r
248160;58.53;1;3ra2
248160;59.09;1;3ra4
248160;58.88;1;3ra8
248160;59.09;1;3ra9
248160;58.88;1;3raa
1074120;283.17;4;3s6p
246000;1161.21;1;3shm
330960;88.04;pT3;3tn9
247860;58.47;1;3ux1
390480;93.23;pT3;3vbf
390480;92.89;pT3;3vbh
323820;84.86;pT3;3vbo
323820;95;pT3;3vbr
390480;92.75;pT3;3vbs
323820;94.67;pT3;3vbu
380400;95.26;pT3;3vdd
390060;95.13;pT3;3zfe
390420;147.04;pT3;3zff
390420;95;pT3;3zfg
5662620;1371.54;pT25;3zif
377400;113.27;3;3zx8
377040;113.27;3;3zx9
134220;37.76;3;3zxa
387120;86.87;pT3;4aed
280380;33.09;pT3;4agy
216360;42.8;3;4ang
223440;58.09;1;4aqq
225360;60.61;1;4ar2
87420;21.82;1;4bcu
158580;135.66;pT3;4bip
158580;26.65;pT3;4biq
710400;168.33;2;4btg
365160;168.33;13;4btq
683040;173.94;13;4bx4
484440;124.38;pT3;4c0u
484440;124.38;pT3;4c0y
541800;132.36;pT3;4c10
390360;94.83;pT3;4cdq
390360;94.9;pT3;4cdu
390360;94.92;pT3;4cdw
390360;94.87;pT3;4cdx
390360;94.86;pT3;4cew
390360;94.88;pT3;4cey
311100;5102.61;pT3;4ctf
311940;4420.22;pT3;4ctg
276120;68.09;1;4dpv
460260;129.38;3;4fsj
467580;136.78;3;4ftb
461100;136.47;3;4fte
460560;124.72;3;4fts
262500;85.03;1;4g0r
268920;68.14;4;4g93
383640;94.29;pT3;4gb3
263160;81.4;1;4gbt
311940;75.51;pT3;4gh4
323700;87.3;pT3;4gmp
247020;81.84;1;4iov
311880;80.75;pT3;4iv1
287520;80.72;pT3;4iv3
328080;87.33;pT3;4jgy
328080;87.33;pT3;4jgz
330840;137.92;pT3;4l3b
412140;614.64;3;4llf
176760;81.49;1;4mgu
315540;87.38;pT3;4n43
390900;87.6;pT3;4n53
92400;365.93;1;4nia
487140;124.93;3;4nwv
480960;118.1;3;4nww
92400;24.68;1;4oq8
92400;367.95;1;4oq9
233520;1185.95;1;4pb6
374460;95.18;pT3;4pdw
387720;95.08;3;4pt2
392940;98.15;pT3;4q4v
391260;98.81;pT3;4q4w
390540;99.1;pT3;4q4x
391380;99.4;pT3;4q4y
237000;59.74;1;4qc8
321360;94.08;3;4qpg
343740;84.33;3;4qpi
261120;71.42;1;4qyk
75180;1189.04;1;4rft
376080;94.48;pT3;4rhv
319380;471.75;pT3;4rqp
328680;475.75;pT3;4rr3
317100;106.79;pT3;4rs5
247440;60.93;1;4rso
281160;84.91;3;4sbv
85620;1308.07;1;4v4m
5214540;1592.89;pT25;4v4u
237060;64.66;pT3;4v5t
237060;61.82;pT3;4v5w
247260;3501.64;1;4v86
273060;10135.47;3;4v99
406320;40.26;3;4wiz
375420;95.41;pT3;4wm7
376620;95.2;pT3;4wm8
84780;916.87;1;4y4y
85380;1833.75;1;4y5z
317160;109.95;pT3;4yvs
318300;112.98;pT3;4yvw
324240;88.22;pT3;4z92
57060;53.31;1;4zor
258840;58.47;1;4zpy
259980;56.99;pT3;5a32
264180;64.84;pT3;5a33
314580;74.38;pT3;5a8f
383880;95.31;pT3;5abj
306900;79.98;pT3;5ac9
314640;90.26;pT3;5aca
2137200;542.42;4;5any
347460;90.23;pT3;5aoo
329400;87.14;pT3;5apm
377580;95.66;pT3;5bnn
378000;95.7;pT3;5bno
378900;95.7;pT3;5bnp
387600;95.46;pT3;5c4w
366780;95.25;pT3;5c8c
381480;95.45;pT3;5c9a
353700;87.66;pT3;5cdc
360720;85.3;pT3;5cfc
360720;85.3;pT3;5cfd
63660;15.11;1;5cvz
63660;16.98;1;5cw0
272160;68.33;4;5d7y
311220;80.76;pT3;5d8a
307860;79.79;pT3;5ddj
247200;58.69;1;5egc
710400;168.33;2;5fj5
262920;65.03;pT3;5fmo
295740;65.63;pT3;5foj
962520;240.93;7d;5fua
421500;99.94;pT3;5g52
365220;107.23;pT3;5gka
1110180;266.4;3;5h37
246360;61.2;1;5ipi
240540;69.26;1;5ipk
656400;190.1;3;5ire
793560;189.49;3;5iz7
99720;151.66;1;5j36
99720;197.19;1;5j37
421740;107.76;pT3;5j96
442140;107.76;pT3;5j98
1301760;335.87;7d;5jb1
360420;94.02;pT3;5jzg
373260;94.03;pT3;5k0u
1336020;323.65;7d;5kep
1336020;323.65;7d;5keq
171120;2472.92;3;5kip
376560;78;pT3;5ktz
377580;130.51;pT3;5ku0
359640;27.14;pT3;5ku2
367440;92.11;pT3;5kwl
1347780;319.17;7l;5l35
323880;90.19;pT3;5l7o
425460;103.74;pT3;5l7q
425460;104.06;pT3;5l8q
351960;107.76;pT3;5lk7
327660;107.76;pT3;5lk8
373800;88.5;pT3;5lsf
327840;87.1;pT3;5lvc
382380;90.57;pT3;5lwg
352560;83.52;pT3;5lwi
329160;88.24;pT3;5mjv
396300;102.44;pT3;5mm2
366900;87.63;pT3;5mqc
217380;52.14;3;5msf
399180;104.06;pT3;5mup
1403160;365.54;13;5muu
419100;104.06;pT3;5mv5
410220;104.06;pT3;5mv6
305220;80.46;pT3;5ne4
305700;80.46;pT3;5ned
306840;80.34;pT3;5nej
797040;196.55;pT3;5neu
353520;100.17;pT3;5o5b
353520;94.54;pT3;5o5p
774000;186.69;3;5o6a
1453200;345.34;pT21;5oac
372000;92.7;pT3;5osn
373800;88.42;pT3;5oyp
105120;112.23;pT3;5tsk
106260;133.09;pT3;5tsl
787680;204.55;3;5u4w
248220;60.09;1;5uf6
856140;222.84;3;5uhy
242760;3634.1;1;5urf
242340;3627.9;1;5us7
244620;3662.03;1;5us9
1379700;327.57;7l;5uu5
3095040;772.23;13;5vf3
171720;3317.21;3;5vly
1959120;911.44;4;5vu2
473460;117.37;pT3;5w3e
473460;117.37;pT3;5w3l
471240;117.37;pT3;5w3m
415500;110.19;pT3;5w3o
1398180;378.46;7l;5wk1
778860;185.28;3;5wsn
342360;87.32;pT3;5wte
320580;131.09;pT3;5wtf
538200;90.23;pT3;5wth
294540;87.84;pT3;5xs4
287940;95.38;pT3;5xs5
403980;86.66;pT3;5xs7
320100;95.37;pT3;5yhq
87360;20.69;1;5yl1
1178700;280.09;3;5ywo
12355500;3168.59;16;5zap
92760;1447.56;1;5zju
514200;73.3;pT3;5zud
517740;73.3;pT3;5zuf
5249700;889.08;1;5zvt
139740;111.31;1;6ab5
435360;3344.02;3;6ab6
376980;94.85;pT3;6acu
289620;87.38;pT3;6acw
304980;94.86;pT3;6acy
305640;93.82;pT3;6acz
483660;137.13;pT3;6ad0
299640;112.51;pT3;6ad1
424560;101.11;pT3;6adl
461040;111.91;pT3;6adm
461880;80.36;pT3;6adr
362280;91.28;pT3;6ads
370620;92.13;pT3;6adt
369780;87.18;pT3;6aj0
321300;147.75;pT3;6aj2
269220;471.23;pT3;6aj3
423300;87.18;pT3;6aj7
521640;87.18;pT3;6aj9
383580;94.93;pT3;6aks
317880;87.3;pT3;6akt
297480;87.3;pT3;6aku
1007460;421.8;7l;6b0x
6008040;1568.68;pT25;6b1t
591240;180.51;4;6b23
12820080;3260.81;16;6b43
263460;3929.4;1;6b9q
1421400;338.53;7d;6bsp
2122980;526.88;7d;6bt3
270960;69.04;4;6bvf
205920;51.31;3;6bvn
261180;3694.08;1;6bwx
259560;4922.72;1;6bx0
261180;68.14;1;6bx1
573720;348.68;7l;6c21
327840;247.73;4;6c22
248520;4921.04;1;6cbe
13143720;4031.74;16;6cgr
5983380;1532.27;pT25;6cgv
789840;190.1;3;6co8
704940;171.38;3;6crj
346320;94.94;pT3;6crp
375720;94.94;pT3;6crr
324840;87.6;pT3;6crs
307440;87.32;pT3;6cru
360060;94.67;pT3;6cs3
334680;87.6;pT3;6cs4
338280;87.6;pT3;6cs5
321720;87.6;pT3;6cs6
301500;130.63;pT3;6csa
408900;94.94;pT3;6csg
304980;87.6;pT3;6csh
376140;95.06;pT3;6cv1
378360;95.06;pT3;6cv2
315300;95.17;pT3;6cv3
309780;87.72;pT3;6cv4
376560;95.06;pT3;6cv5
376620;95.74;pT3;6cvb
463920;480.1;pT3;6cx1
390900;93.73;pT3;6dij
390840;115.1;pT3;6diz
1675140;915.01;1;6djy
93060;1314.82;1;6dzu
93000;1673.99;1;6e2r
93000;1675.16;1;6e2x
92520;1674.9;1;6e2z
93000;1675.48;1;6e30
93000;1675.48;1;6e32
93000;1674.9;1;6e34
93000;1674.58;1;6e39
245880;4921.28;1;6e9d
274320;68.51;4;6edj
373800;88.42;pT3;6egv
349140;82.52;pT3;6egx
310320;73.32;pT3;6eh1
403020;94.34;pT3;6eit
348180;82.52;pT3;6eiw
960660;282.42;7d;6esb
413880;103.74;pT3;6f5j
1058640;266.17;7d;6gg0
735240;220.16;3;6gsh
431520;114.41;pT3;6gv4
381840;87.3;pT3;6gzv
460200;136.82;3;6h2b
2658480;636.57;28d;6h82
2621460;648;28d;6h9c
365520;95.39;pT3;6hbg
311760;94.01;pT3;6hbh
300960;87.51;pT3;6hbj
213720;3815.9;1;6hcr
283860;84.58;4;6htx
287700;168.9;4;6hu4
291600;147.79;4;6hu7
1403160;365.54;13;6hy0
578580;87.1;pT3;6i2k
1883280;443.39;7l;6i9e
122700;446.81;1;6i9g
1185480;326.77;7l;6ibc
248580;58.64;1;6ih9
292080;92.35;1;6ihb
344880;102.81;pT3;6iic
379620;94.78;pT3;6iij
314820;94.46;pT3;6iio
480240;93.46;pT3;6ilj
480240;115.1;pT3;6ilk
387900;77.46;pT3;6ill
570840;93.33;pT3;6ilm
388920;94.94;pT3;6iln
328140;79.85;pT3;6ilo
388920;93.43;pT3;6ilp
1436880;391.66;4;6imm
707760;176.5;3;6iuk
287880;110.44;3;6izl
2566620;625.02;13;6j3q
288540;58.53;1;6jcq
246720;58.23;1;6jcr
292800;69.12;1;6jcs
246660;58.21;1;6jct
540000;107.43;pT3;6jhq
541440;142.13;pT3;6jhr
538680;130.79;pT3;6jhs
537540;92.9;pT3;6jht
70500;19.22;1;6jja
284760;124.72;3;6jjc
284760;129.07;3;6jjd
292560;74.85;1;6l62
390900;94.1;pT3;6la3
390900;94.1;pT3;6la4
446880;107.69;pT3;6la5
564780;134.85;pT3;6la6
564780;134.92;pT3;6la7
390900;94.1;pT3;6lao
324300;78.71;pT3;6lap
209040;51.3;1;6lat
148140;51.3;1;6lb0
324300;78.71;pT3;6lb1
324300;78.71;pT3;6lbo
324300;78.71;pT3;6lbq
12500760;3463.29;16;6lgl
12479220;3463.29;16;6lgn
385380;94.9;pT3;6lha
305220;94.15;pT3;6lhb
298320;94.94;pT3;6lhc
384720;95.17;pT3;6lhk
304320;87.32;pT3;6lhl
297720;87.32;pT3;6lho
486240;87.18;pT3;6lhp
489600;119.91;pT3;6lhq
93060;27.56;1;6lm3
390480;94.86;pT3;6lqd
321840;89.79;1;6mf7
898260;216;3;6mid
413640;123.57;3;6mrl
407400;109.97;3;6mrm
204000;53.31;3;6msf
2131680;593.09;4;6mui
2131680;567.63;4;6mw9
2131680;567.63;4;6mwc
2131680;567.63;4;6mwv
2131680;567.63;4;6mwx
1876020;498.78;4;6mx4
326700;115.45;4;6mx7
360060;111.67;pT3;6mzi
428460;116.43;9;6mzx
18350520;4793.08;169;6ncl
256140;64.82;1;6nf9
13118340;3727.3;16;6nhj
1861080;444.42;4;6nk5
2378220;568.59;4;6nk6
2108100;502.97;4;6nk7
327540;68.95;1;6nn3
258000;3656.35;1;6nxe
284400;113.94;1;6nz0
324840;97.36;pT3;6o06
1871280;441.4;7l;6o3h
247680;3505.7;1;6o9r
260820;61.56;1;6oas
1576320;383.43;4;6odf
3465840;835.2;43;6oj0
1752660;428.11;13;6okb
97980;1455.71;1;6ola
1805520;215.63;13;6oma
1805520;428.11;13;6omc
711840;178.16;3;6otf
226440;59.39;1;6ouc
898920;235.75;4;6ouu
705180;171.07;3;6p4j
705180;171.46;3;6p4k
274980;176.1;3;6p4l
307080;90.11;pT3;6p9o
295500;90.11;pT3;6p9w
414120;108.67;pT3;6ppo
413940;138.21;pT3;6psf
305820;90.11;pT3;6psz
248160;64.85;1;6pwa
470460;83.55;pT3;6q0b
14313120;4248.21;16;6q1f
255120;61.82;pT3;6qcc
6360540;1566.13;pT25;6qi5
2542200;604.19;28d;6qt9
340560;327.44;9;6r24
1041600;246.81;7l;6r3a
1041600;246.81;7l;6r3b
232680;118.31;3;6rj0
392040;99.91;pT3;6rjf
101400;23.75;1;6rpk
93960;27.75;1;6rpl
101400;27.75;1;6rpo
93060;55.48;3;6rrs
192480;67.57;3;6rtk
1041540;246.81;7l;6rtl
762960;182.64;1;6s2c
67200;19.2;1;6s44
195360;66.25;3;6scl
195660;69.58;3;6sco
378240;89.57;pT3;6shl
372780;86.2;pT3;6sk5
373260;93.22;pT3;6sk6
361500;96.5;pT3;6sk7
383400;94.17;pT3;6smg
319800;92.13;pT3;6snb
520260;121.36;pT3;6snw
104100;27.57;1;6ssj
307920;82.71;3;6ssm
377340;93.33;pT3;6t40
377160;93.54;pT3;6t48
377340;93.37;pT3;6t4c
337140;144.67;4;6tap
325920;90.63;4;6taq
379320;91.5;pT3;6thd
381840;95.03;pT3;6thn
265200;248.47;4;6tik
391140;99.43;pT3;6tsd
395460;122.95;3;6tsw
252840;3599.21;1;6u0r
249120;3547.8;1;6u0v
248160;58.53;1;6u20
248160;4916.71;1;6u2v
248280;4909.38;1;6u3q
247500;81.53;1;6u95
248160;58.53;1;6ubm
390900;94.9;pT3;6uh1
390900;94.04;pT3;6uh6
390900;94.9;pT3;6uh7
204420;48.43;3;6ui6
272880;64.57;4;6ui7
248700;2467.86;1;6v10
248700;3519.39;1;6v12
247680;3544.01;1;6v1g
248280;80.66;1;6v1t
248280;47.43;1;6v1z
131760;32.57;1;6vfj
214200;61.23;3;6voc
1116480;510.37;4;6vyv
271680;67.14;4;6vzp
1171200;538.09;4;6w09
261840;67.02;4;6w0k
13502820;3395.33;16;6w19
1103040;505.15;4;6w1c
691200;318.62;4;6w2u
477000;119.66;pT3;6wds
478740;120.33;pT3;6wdt
270960;68.98;4;6wfs
244740;3484.34;1;6wft
244740;3464.46;1;6wfu
157680;2470.26;1;6wh3
151800;3689.09;1;6wh7
124740;1803.61;1;6wkv
259740;3675.15;1;6x2i
259200;3672.29;1;6x2k
133440;35.37;1;6x8m
133440;35.37;1;6x8t
1542360;380.43;7l;6xgq
1854000;496.81;4;6xo4
2252400;682.49;4;6xob
557640;175.07;1;6y83
154260;1222.59;3;6yf7
184320;926.96;3;6yf9
236880;40;3;6yfa
157200;41.61;1;6yfb
169200;613.59;3;6yfc
253920;56.56;3;6yfd
178080;82.12;3;6yfe
174600;2453.15;3;6yff
208800;2487.7;3;6yfh
157140;1986.82;3;6yfj
186480;947.29;3;6yfk
190560;41.24;3;6yfl
200520;50.22;3;6yfm
202920;1121.65;3;6yfn
174960;4784.32;3;6yfo
232740;42.8;3;6yfp
183600;57.07;3;6yfq
56340;41.27;1;6yfr
169800;1293.71;3;6yfs
151020;871.47;3;6yft
389220;182.03;4;6ygh
307920;152.98;4;6ygi
496380;145.25;pT3;6z3p
493680;142.77;pT3;6z3q
337500;97.8;pT3;6z6w
5656080;1811.45;pT25;6z7n
482280;124.17;2;6z8d
482760;132.45;2;6z8e
479160;115.02;2;6z8f
384000;91.9;pT3;6zck
379500;92.04;pT3;6zcl
105060;1805;1;6zlo
979080;279.91;7d;6zlz
969900;279.67;7d;6zml
383820;142.5;pT3;6zms
787140;190.1;3;6zqu
796680;193.82;3;6zqv
903240;279.6;3;6zqw
290520;5160.55;4;7a4i
289560;5154.07;4;7a4j
276720;84.5;4;7abl
1051080;279.64;4;7anm
1047840;279.64;4;7ata
90960;36;1;7b3y
378120;89.74;pT3;7bc3
316920;76.65;pT3;7be9
386340;95.18;pT3;7bg6
413220;144.45;pT3;7bg7
331860;98.96;pT3;7bg8
94500;48.78;1;7bgj
383520;98.96;pT3;7bgk
714660;175.21;3;7bjp
121500;28.76;1;7boj
12812160;3288.79;16;7bsi
1121340;268.33;3;7bu8
1121880;268.33;3;7bua
975780;241.6;3;7bub
972720;241.6;3;7bud
12529080;3463.29;16;7bw6
373440;94.94;pT3;7bzn
369540;94.94;pT3;7bzo
511380;137.1;pT3;7bzt
510900;136.8;pT3;7bzu
306540;94.73;pT3;7c4t
307620;92.34;pT3;7c4w
299880;94.9;pT3;7c4y
299160;136.84;pT3;7c4z
575880;90.13;pT3;7c80
568680;142.9;pT3;7c81
386700;96.07;pT3;7c9s
340440;88.13;pT3;7c9t
343500;142.26;pT3;7c9u
560580;94.86;pT3;7c9v
476100;97.52;pT3;7c9w
385500;95.68;pT3;7c9x
382200;76.18;pT3;7c9y
382260;107.61;pT3;7c9z
1182660;283.34;3;7cbp
251820;59.31;pT3;7chk
114360;1807.24;3;7ckb
150300;2405.64;4;7ckc
531180;95.2;pT3;7cmk
995460;251.6;3;7cth
795180;193.72;1;7d0k
798240;193.72;1;7d0l
390900;100.13;pT3;7d3k
410820;118.98;pT3;7d3l
415380;120.91;pT3;7d3m
418560;80.3;pT3;7d3r
2070180;505.69;9;7dn2
1326360;354.62;7d;7dn5
714960;182.26;3;7dod
380160;94.4;pT3;7dpf
430740;95.97;pT3;7dpz
431220;117.4;pT3;7dq1
314460;107.61;pT3;7dq4
484680;119.38;pT3;7dq7
358440;90.6;pT3;7dst
335760;95.67;pT3;7eah
357900;111.67;pT3;7eai
443940;97.93;pT3;7eaj
495300;75.76;pT3;7eak
1569540;372.47;7l;7eel
305100;80.42;pT3;7eno
