atoms;resolution;tnumber;id
208560;3;3;2bny
307200;3;1;2bpa
218760;2.91;3;2bq5
199620;2.45;3;2bs0
202260;2.8;3;2bs1
2943660;3.5;13;2btv
217380;2.2;3;2bu1
85620;2.45;1;2buk
214380;2.38;3;2c4q
237960;2.68;3;2c4y
240900;2.6;3;2c4z
229980;2.65;3;2c50
232020;2.8;3;2c51
212040;3.6;1;2c6s
216300;16.5;1;2c9f
214080;9.3;1;2c9g
260820;3;1;2cas
189720;2.6;1;2df7
329280;3.6;3;2e0z
900540;7.5;7l;2frp
902400;4.2;7l;2fs3
900420;3.8;7l;2fsy
886620;3.9;7l;2ft1
575580;12;7l;2fte
255600;2.9;3;2fz1
259500;2.9;3;2fz2
279480;3.96;4;2g33
277320;5.05;4;2g34
247740;3.2;1;2g8g
779280;3.2;3;2gh8
827820;5.2;7l;2gp1
192540;2.6;1;2gsy
376020;3;pT3;2hwb
376020;3;pT3;2hwc
373380;3.8;pT3;2hwd
373380;3.8;pT3;2hwe
373380;3.8;pT3;2hwf
210240;3.3;3;2iz8
209220;2.85;3;2iz9
206340;2.7;3;2izm
206700;2.56;3;2izn
271560;2.9;3;2izw
376140;3;pT3;2mev
173700;2.8;3;2ms2
398820;2.88;pT3;2plv
454620;3.2;3;2q23
454800;3.5;3;2q25
265680;2.6;1;2qa0
277500;8.9;4;2qij
997560;3.8;4;2qqp
376080;3;pT3;2r04
376080;3;pT3;2r06
376080;3;pT3;2r07
132720;24;3;2r6p
376080;3;pT3;2rm2
376140;3;pT3;2rmu
376080;3;pT3;2rr1
376080;3;pT3;2rs1
376080;3;pT3;2rs3
376080;3;pT3;2rs5
85620;2.5;1;2stv
398520;2.9;3;2tbv
494040;3.4;2;2vf1
184320;3.5;3;2vf9
279540;3.6;3;2vq0
1586160;7;pT21;2w0c
171720;2.9;3;2w4y
171720;3.6;3;2w4z
173520;4.7;3;2wbh
330360;4;pT3;2wff
321840;3;pT3;2ws9
238560;3.9;3;2wws
312600;3;pT3;2wzr
391560;3.1;pT3;2x5i
322320;4;pT3;2xbo
1347600;9;4;2xfb
1345200;9;4;2xfc
257700;4.2;1;2xgk
240060;3.4;3;2xpj
769860;10.8;7l;2xvr
237300;2.7;pT3;2y26
1867200;5;4;2yew
422400;2.81;3;2zah
215400;3.56;1;2ztn
219480;3.81;1;2zzq
153060;4.5;7l;3c5b
375180;2.3;pT3;3cji
579180;14;7l;3ddx
386100;3.5;pT3;3dpr
815400;3.65;7l;3e8k
495360;8;pT3;3epc
493440;9;pT3;3epd
489120;9;pT3;3epf
355140;3.3;2;3es5
192540;3.1;1;3fbm
1568580;3.8;13;3gzt
3238920;3.8;NA;3gzu
215340;3.5;1;3hag
192480;3.35;1;3ide
1356840;4.2;7d;3iyj
4815180;3.3;2;3iyl
190080;4.7;2;3iym
508860;7.2;pT3;3iyp
2581740;3.8;13;3iyu
946320;13.7;3;3iyw
1921440;3.9;NA;3iz3
769860;10.9;7l;3izg
1932540;3.1;2;3izx
1908240;4.8;4;3j0c
1922820;4.1;1;3j17
702180;6.5;3;3j1p
248160;4.5;1;3j1q
449100;8.5;1;3j1s
323820;6.3;pT3;3j22
323820;9.2;pT3;3j23
3268740;3.5;pT27;3j26
784800;3.6;3;3j27
336060;9.54;pT3;3j2j
277740;3.5;4;3j2v
1855680;5;4;3j2w
2672940;4.5;pT31;3j31
450900;4.1;1;3j3i
1443960;4.5;7l;3j40
673560;21;3;3j42
248220;4.8;1;3j4p
1479180;3.5;7l;3j4u
453600;4.8;pT3;3j69
456540;6.5;pT3;3j6a
1032840;9.1;7d;3j6r
441360;13.6;7d;3j7e
996600;13.6;7d;3j7g
216780;3.8;3;3j7l
217080;3.8;3;3j7m
217080;3.8;3;3j7n
952380;4.5;7l;3j7v
1069740;3.5;7l;3j7w
1069740;3.8;7l;3j7x
539460;4;pT3;3j8f
1415640;13.9;7d;3j8v
1402920;13;7d;3j8w
1829880;14;7d;3j8z
323700;8.8;pT3;3j91
539460;9;pT3;3j9f
114900;4.8;pT3;3jau
1935000;3;1;3jay
1934640;3.1;NA;3jaz
1934640;2.9;NA;3jb0
1934640;3.1;2;3jb1
1935000;3.1;2;3jb2
1935000;3.1;NA;3jb3
316320;3.8;pT3;3jb4
913920;3.7;7l;3jb5
245880;3.6;3;3jb8
795180;12;7d;3jba
456540;6.5;pT3;3jbc
453600;4.8;pT3;3jbd
457740;4.2;pT3;3jbe
455820;4.8;pT3;3jbf
454200;3.8;pT3;3jbg
93420;2.9;1;3jci
364320;2.9;1;3jcx
383100;3.9;pT3;3jd7
6107880;4.5;NA;3k1q
249240;2.6;1;3kic
249240;3;1;3kie
3246240;3.8;NA;3kz4
437940;3.6;3;3lob
741600;3.4;3;3m8l
3242880;3.8;NA;3n09
143760;2.5;1;3n7x
371760;2.5;pT3;3nap
247200;2.5;1;3ng9
246660;3.45;1;3ntt
247020;3;1;3oah
197400;3.1;1;3p0s
513780;5.2;7l;3p8q
519240;5.2;7l;3qpr
95640;2.35;1;3r0r
248160;2.7;1;3ra2
248160;2.7;1;3ra4
248160;2.7;1;3ra8
248160;2.7;1;3ra9
248160;3.2;1;3raa
1074120;2.5;4;3s6p
246000;3.02;1;3shm
330960;3;pT3;3tn9
247860;2.8;1;3ux1
390480;2.6;pT3;3vbf
390480;2.3;pT3;3vbh
323820;2.88;pT3;3vbo
323820;3.8;pT3;3vbr
390480;3;pT3;3vbs
323820;4;pT3;3vbu
380400;3.2;pT3;3vdd
390060;2.7;pT3;3zfe
390420;3.4;pT3;3zff
390420;3.2;pT3;3zfg
5662620;4.5;pT25;3zif
377400;11.5;3;3zx8
377040;17;3;3zx9
134220;3.2;3;3zxa
387120;3.8;pT3;4aed
280380;6.09;pT3;4agy
216360;3.5;3;4ang
223440;4.75;1;4aqq
225360;3.8;1;4ar2
87420;2.29;1;4bcu
158580;8.23;pT3;4bip
158580;6.09;pT3;4biq
173700;39;3;4bp7
710400;4.4;2;4btg
365160;7.5;13;4btq
683040;8.7;13;4bx4
484440;10;pT3;4c0u
484440;16;pT3;4c0y
541800;13;pT3;4c10
390360;2.65;pT3;4cdq
390360;2.8;pT3;4cdu
390360;2.8;pT3;4cdw
390360;2.8;pT3;4cdx
390360;2.75;pT3;4cew
390360;2.75;pT3;4cey
311100;17;pT3;4ctf
311940;17;pT3;4ctg
276120;2.9;1;4dpv
3720540;5;13;4f5x
460260;3.5;3;4fsj
467580;2.7;3;4ftb
461100;3.5;3;4fte
460560;3.2;3;4fts
262500;2.7;1;4g0r
268920;4.2;4;4g93
383640;2.74;pT3;4gb3
263160;3.2;1;4gbt
311940;3;pT3;4gh4
323700;3.9;pT3;4gmp
247020;3.5;1;4iov
311880;2.1;pT3;4iv1
287520;2.9;pT3;4iv3
328080;3;pT3;4jgy
328080;3;pT3;4jgz
330840;6.5;pT3;4l3b
412140;2.89;3;4llf
176760;3.5;1;4mgu
315540;3.8;pT3;4n43
390900;3.31;pT3;4n53
92400;1.82;1;4nia
487140;3.25;3;4nwv
480960;3.75;3;4nww
92400;1.45;1;4oq8
92400;1.45;1;4oq9
233520;8;1;4pb6
374460;3;pT3;4pdw
387720;4.6;3;4pt2
392940;2.9;pT3;4q4v
391260;1.4;pT3;4q4w
390540;1.65;pT3;4q4x
391380;1.88;pT3;4q4y
237000;3.2;1;4qc8
321360;3.5;3;4qpg
343740;3.01;3;4qpi
261120;3.5;1;4qyk
75180;3.1;1;4rft
376080;3;pT3;4rhv
319380;3.15;pT3;4rqp
328680;3.1;pT3;4rr3
317100;3.81;pT3;4rs5
247440;3.5;1;4rso
281160;2.8;3;4sbv
85620;1.45;1;4v4m
5214540;10;pT25;4v4u
237060;3;pT3;4v5t
237060;3.7;pT3;4v5w
247260;3;1;4v86
273060;2.9;3;4v99
406320;3.6;3;4wiz
375420;2.32;pT3;4wm7
376620;2;pT3;4wm8
84780;3;1;4y4y
85380;2.95;1;4y5z
317160;3.65;pT3;4yvs
318300;3.8;pT3;4yvw
324240;3.1;pT3;4z92
57060;2.2;1;4zor
258840;3.8;1;4zpy
259980;3.44;pT3;5a32
264180;3.04;pT3;5a33
314580;10.6;pT3;5a8f
383880;2.75;pT3;5abj
306900;3.2;pT3;5ac9
314640;3.5;pT3;5aca
2137200;16.9;4;5any
347460;2.1;pT3;5aoo
329400;4.3;pT3;5apm
377580;2.32;pT3;5bnn
378000;2.15;pT3;5bno
378900;2.15;pT3;5bnp
387600;2.65;pT3;5c4w
366780;2.5;pT3;5c8c
381480;2.7;pT3;5c9a
353700;4;pT3;5cdc
360720;2.5;pT3;5cfc
360720;2.5;pT3;5cfd
63660;3.3;1;5cvz
63660;4.6;1;5cw0
272160;3.89;4;5d7y
311220;2.4;pT3;5d8a
307860;3.5;pT3;5ddj
247200;3.01;1;5egc
710400;4.8;2;5fj5
262920;2.3;pT3;5fmo
295740;2.8;pT3;5foj
962520;7.6;7d;5fua
421500;3.8;pT3;5g52
365220;3.7;pT3;5gka
1110180;4;3;5h37
246360;3.8;1;5ipi
240540;3.7;1;5ipk
656400;3.8;3;5ire
793560;3.7;3;5iz7
99720;2.55;1;5j36
99720;2.3;1;5j37
421740;3.41;pT3;5j96
442140;2.6;pT3;5j98
1301760;6;7d;5jb1
360420;3.16;pT3;5jzg
373260;2.79;pT3;5k0u
1336020;4.3;7d;5kep
1336020;4.3;7d;5keq
171120;3.7;3;5kip
376560;4.3;pT3;5ktz
377580;4.2;pT3;5ku0
359640;4.5;pT3;5ku2
367440;4.5;pT3;5kwl
1347780;2.89;7l;5l35
323880;3.6;pT3;5l7o
425460;3.44;pT3;5l7q
425460;3.2;pT3;5l8q
351960;3.42;pT3;5lk7
327660;3.42;pT3;5lk8
174240;6;3;5lqp
373800;2.1;pT3;5lsf
327840;4.2;pT3;5lvc
382380;3.2;pT3;5lwg
352560;3.8;pT3;5lwi
329160;3.09;pT3;5mjv
396300;2.7;pT3;5mm2
366900;3.4;pT3;5mqc
217380;2.8;3;5msf
399180;3.8;pT3;5mup
1403160;4;13;5muu
419100;3.1;pT3;5mv5
410220;3.5;pT3;5mv6
305220;2.3;pT3;5ne4
305700;3.1;pT3;5ned
306840;3.1;pT3;5nej
797040;3.1;pT3;5neu
353520;3.6;pT3;5o5b
353520;4.1;pT3;5o5p
774000;3.9;3;5o6a
1453200;4;pT21;5oac
372000;2.3;pT3;5osn
249780;4.2;3;5ow6
373800;3.22;pT3;5oyp
105120;6.5;pT3;5tsk
106260;6.5;pT3;5tsl
787680;9.1;3;5u4w
248220;2.8;1;5uf6
856140;6.2;3;5uhy
242760;2.9;1;5urf
242340;2.8;1;5us7
244620;3;1;5us9
1379700;3.3;7l;5uu5
3095040;3.3;13;5vf3
171720;3.3;3;5vly
1959120;6.8;4;5vu2
473460;2.53;pT3;5w3e
473460;2.71;pT3;5w3l
471240;2.26;pT3;5w3m
415500;3.01;pT3;5w3o
1398180;3.6;7l;5wk1
778860;4.3;3;5wsn
342360;3.4;pT3;5wte
320580;3.9;pT3;5wtf
538200;4.2;pT3;5wth
294540;3.1;pT3;5xs4
287940;3.3;pT3;5xs5
403980;3.8;pT3;5xs7
320100;3;pT3;5yhq
87360;3.12;1;5yl1
1178700;4.7;3;5ywo
12355500;3.1;16;5zap
92760;2.8;1;5zju
514200;4.9;pT3;5zud
517740;6.8;pT3;5zuf
5249700;3.3;1;5zvt
139740;3.7;1;6ab5
435360;3.5;3;6ab6
376980;3.4;pT3;6acu
289620;4;pT3;6acw
304980;3.4;pT3;6acy
305640;4.3;pT3;6acz
483660;3.9;pT3;6ad0
299640;4.2;pT3;6ad1
424560;3.08;pT3;6adl
461040;2.84;pT3;6adm
461880;3.38;pT3;6adr
362280;2.84;pT3;6ads
370620;3.22;pT3;6adt
369780;3.4;pT3;6aj0
321300;4;pT3;6aj2
269220;3.8;pT3;6aj3
423300;3.6;pT3;6aj7
521640;3.5;pT3;6aj9
383580;3;pT3;6aks
317880;2.8;pT3;6akt
297480;2.7;pT3;6aku
1007460;3.8;7l;6b0x
6008040;3.2;pT25;6b1t
591240;3.7;4;6b23
12820080;4.2;16;6b43
263460;3.17;1;6b9q
1421400;4.7;7d;6bsp
2122980;4.7;7d;6bt3
270960;4;4;6bvf
205920;4;3;6bvn
261180;2.84;1;6bwx
259560;3.79;1;6bx0
261180;3.25;1;6bx1
573720;5.2;7l;6c21
327840;8.4;4;6c22
248520;2.78;1;6cbe
13143720;4.2;16;6cgr
5983380;3.8;pT25;6cgv
789840;3.1;3;6co8
704940;8;3;6crj
346320;3.24;pT3;6crp
375720;3.24;pT3;6crr
324840;3.24;pT3;6crs
307440;3.32;pT3;6cru
360060;3.31;pT3;6cs3
334680;2.73;pT3;6cs4
338280;3.24;pT3;6cs5
321720;3.25;pT3;6cs6
301500;3.75;pT3;6csa
408900;2.17;pT3;6csg
304980;2.9;pT3;6csh
376140;2.76;pT3;6cv1
378360;2.86;pT3;6cv2
315300;3.56;pT3;6cv3
309780;3.03;pT3;6cv4
376560;2.79;pT3;6cv5
376620;2.43;pT3;6cvb
463920;3.8;pT3;6cx1
390900;3.3;pT3;6dij
390840;3.59;pT3;6diz
1675140;3.9;1;6djy
93060;3.3;1;6dzu
93000;2.8;1;6e2r
93000;3.5;1;6e2x
92520;3.4;1;6e2z
93000;3.5;1;6e30
93000;3.4;1;6e32
93000;3.6;1;6e34
93000;3.5;1;6e39
245880;1.86;1;6e9d
274320;4.52;4;6edj
373800;3.18;pT3;6egv
349140;4.06;pT3;6egx
310320;7.25;pT3;6eh1
403020;3.9;pT3;6eit
348180;3.87;pT3;6eiw
960660;3.4;7d;6esb
413880;3.1;pT3;6f5j
1058640;4.24;7d;6gg0
735240;3;3;6gsh
431520;2.8;pT3;6gv4
381840;4;pT3;6gzv
460200;3.28;3;6h2b
2658480;3.78;28d;6h82
2621460;3.74;28d;6h9c
365520;3.16;pT3;6hbg
311760;3.36;pT3;6hbh
300960;3.16;pT3;6hbj
213720;3.5;1;6hcr
283860;2.66;4;6htx
287700;2.64;4;6hu4
291600;2.8;4;6hu7
1403160;3.5;13;6hy0
578580;3.4;pT3;6i2k
1883280;3.74;7l;6i9e
122700;2.5;1;6i9g
1185480;4.39;7l;6ibc
248580;2.8;1;6ih9
292080;2.84;1;6ihb
344880;3.3;pT3;6iic
379620;2.84;pT3;6iij
314820;3.12;pT3;6iio
480240;3.6;pT3;6ilj
480240;3;pT3;6ilk
387900;3.8;pT3;6ill
570840;3.4;pT3;6ilm
388920;3.4;pT3;6iln
328140;3.2;pT3;6ilo
388920;2.9;pT3;6ilp
1436880;3.5;4;6imm
368400;4.7;3;6itb
230400;4.7;3;6itf
707760;3.5;3;6iuk
287880;3.3;3;6izl
2566620;3.53;13;6j3q
288540;3.3;1;6jcq
246720;3.07;1;6jcr
292800;3.18;1;6jcs
246660;3.18;1;6jct
540000;3.9;pT3;6jhq
541440;3.68;pT3;6jhr
538680;3.05;pT3;6jhs
537540;3.79;pT3;6jht
70500;2.91;1;6jja
284760;2.92;3;6jjc
284760;3.21;3;6jjd
292560;7.2;1;6l62
390900;2.32;pT3;6la3
390900;2.34;pT3;6la4
446880;2.86;pT3;6la5
564780;2.39;pT3;6la6
564780;2.82;pT3;6la7
390900;2.64;pT3;6lao
324300;2.49;pT3;6lap
209040;3.4;1;6lat
148140;3.6;1;6lb0
324300;2.58;pT3;6lb1
324300;3.18;pT3;6lbo
324300;2.6;pT3;6lbq
12500760;4.4;16;6lgl
12479220;5.3;16;6lgn
385380;3.56;pT3;6lha
305220;3.33;pT3;6lhb
298320;3.43;pT3;6lhc
384720;2.65;pT3;6lhk
304320;3.07;pT3;6lhl
297720;3.13;pT3;6lho
486240;3.3;pT3;6lhp
489600;3.06;pT3;6lhq
93060;6.7;1;6lm3
390480;3.26;pT3;6lqd
321840;3.2;1;6mf7
898260;4;3;6mid
413640;3.2;3;6mrl
407400;2.9;3;6mrm
204000;2.8;3;6msf
2131680;7.7;4;6mui
2131680;7.3;4;6mw9
2131680;7.5;4;6mwc
2131680;7.3;4;6mwv
2131680;8.2;4;6mwx
1876020;4.4;4;6mx4
326700;4.8;4;6mx7
360060;3.46;pT3;6mzi
428460;3;9;6mzx
18350520;3.5;169;6ncl
256140;3.89;1;6nf9
13118340;5;16;6nhj
1861080;4.16;4;6nk5
2378220;4.06;4;6nk6
2108100;4.99;4;6nk7
327540;3.22;1;6nn3
258000;3.16;1;6nxe
284400;2.4;1;6nz0
324840;3.6;pT3;6o06
1871280;2.8;7l;6o3h
247680;2.75;1;6o9r
260820;3;1;6oas
1576320;5.8;4;6odf
3465840;3.7;43;6oj0
1752660;6.7;13;6okb
97980;3.3;1;6ola
1805520;7.2;13;6oma
1805520;3.8;13;6omc
711840;3.1;3;6otf
226440;2.8;1;6ouc
898920;4.1;4;6ouu
705180;3.1;3;6p4j
705180;3.1;3;6p4k
274980;3.1;3;6p4l
307080;2.9;pT3;6p9o
295500;3.2;pT3;6p9w
414120;3.2;pT3;6ppo
413940;3.5;pT3;6psf
305820;3.2;pT3;6psz
248160;3.3;1;6pwa
470460;3.4;pT3;6q0b
14313120;9;16;6q1f
255120;3.22;pT3;6qcc
6360540;3.4;pT25;6qi5
2542200;3.8;28d;6qt9
340560;7.5;9;6r24
1041600;4;7l;6r3a
1041600;4.5;7l;6r3b
232680;3.7;3;6rj0
392040;3.5;pT3;6rjf
101400;2.84;1;6rpk
93960;3.85;1;6rpl
101400;2.39;1;6rpo
93060;3.9;3;6rrs
123120;6;4;6rrt
192480;3.47;3;6rtk
1041540;4.2;7l;6rtl
762960;3.2;1;6s2c
67200;3.19;1;6s44
195360;3;3;6scl
195660;3.3;3;6sco
378240;3.1;pT3;6shl
372780;3.6;pT3;6sk5
373260;3.2;pT3;6sk6
361500;2.9;pT3;6sk7
383400;3.5;pT3;6smg
319800;4.4;pT3;6snb
520260;3.9;pT3;6snw
104100;2.75;1;6ssj
307920;4.34;3;6ssm
377340;1.67;pT3;6t40
377160;2.17;pT3;6t48
377340;1.8;pT3;6t4c
337140;3.5;4;6tap
325920;3.9;4;6taq
379320;2.23;pT3;6thd
381840;2.6;pT3;6thn
265200;3.4;4;6tik
391140;1.81;pT3;6tsd
395460;4.03;3;6tsw
252840;2.91;1;6u0r
249120;3.02;1;6u0v
248160;3.3;1;6u20
248160;3.6;1;6u2v
248280;2.46;1;6u3q
247500;2.56;1;6u95
248160;3.3;1;6ubm
390900;3.04;pT3;6uh1
390900;2.98;pT3;6uh6
390900;2.87;pT3;6uh7
204420;3.53;3;6ui6
272880;3.65;4;6ui7
248700;3.77;1;6v10
248700;3.08;1;6v12
247680;2.98;1;6v1g
248280;3.39;1;6v1t
248280;3.58;1;6v1z
131760;5.35;1;6vfj
214200;3.1;3;6voc
1116480;6.33;4;6vyv
271680;3.6;4;6vzp
1171200;5.3;4;6w09
261840;4.6;4;6w0k
13502820;5.5;16;6w19
1103040;5.3;4;6w1c
691200;4.8;4;6w2u
477000;2.9;pT3;6wds
478740;3.1;pT3;6wdt
270960;4.6;4;6wfs
244740;3.03;1;6wft
244740;3.03;1;6wfu
157680;2.96;1;6wh3
151800;3.78;1;6wh7
124740;2.99;1;6wkv
259740;2.87;1;6x2i
259200;2.88;1;6x2k
133440;2.2;1;6x8m
133440;2.9;1;6x8t
1542360;3.8;7l;6xgq
1854000;4.2;4;6xo4
2252400;8.5;4;6xob
557640;3.65;1;6y83
154260;3.4;3;6yf7
184320;3.2;3;6yf9
236880;3.3;3;6yfa
157200;3.59;1;6yfb
169200;3.25;3;6yfc
253920;3.3;3;6yfd
178080;3.79;3;6yfe
174600;3.09;3;6yff
181440;3.9;3;6yfg
208800;3.89;3;6yfh
157140;3.23;3;6yfj
186480;3.7;3;6yfk
190560;3.3;3;6yfl
200520;2.76;3;6yfm
202920;3.19;3;6yfn
174960;3.48;3;6yfo
232740;3.1;3;6yfp
183600;3.8;3;6yfq
56340;2.6;1;6yfr
169800;3.5;3;6yfs
151020;3.5;3;6yft
199620;4.02;3;6yfu
389220;3.7;4;6ygh
307920;3;4;6ygi
496380;2.8;pT3;6z3p
493680;2.7;pT3;6z3q
337500;3;pT3;6z6w
5656080;3.77;pT25;6z7n
482280;2.63;2;6z8d
482760;2.8;2;6z8e
479160;2.8;2;6z8f
384000;2.7;pT3;6zck
379500;2.8;pT3;6zcl
105060;2.9;1;6zlo
979080;3.52;7d;6zlz
969900;3.4;7d;6zml
383820;3.4;pT3;6zms
787140;3.1;3;6zqu
796680;2.6;3;6zqv
903240;7.8;3;6zqw
290520;7.04;4;7a4i
289560;3.04;4;7a4j
276720;3.2;4;7abl
1051080;2.72;4;7anm
1047840;6.63;4;7ata
90960;3.7;1;7b3y
378120;2.9;pT3;7bc3
316920;4.2;pT3;7be9
386340;2.6;pT3;7bg6
413220;2.4;pT3;7bg7
331860;4;pT3;7bg8
94500;6.9;1;7bgj
383520;2.8;pT3;7bgk
714660;3.8;3;7bjp
121500;2.5;1;7boj
12812160;4.1;16;7bsi
1121340;3.8;3;7bu8
1121880;4.8;3;7bua
975780;4.2;3;7bub
972720;4.5;3;7bud
12529080;3.7;16;7bw6
373440;3.1;pT3;7bzn
369540;3.2;pT3;7bzo
511380;3;pT3;7bzt
510900;3;pT3;7bzu
306540;3.6;pT3;7c4t
307620;3.4;pT3;7c4w
299880;3.5;pT3;7c4y
299160;3.3;pT3;7c4z
575880;3.7;pT3;7c80
568680;3.1;pT3;7c81
386700;2.9;pT3;7c9s
340440;2.9;pT3;7c9t
343500;3.4;pT3;7c9u
560580;3.3;pT3;7c9v
476100;3.6;pT3;7c9w
385500;3.4;pT3;7c9x
382200;3.5;pT3;7c9y
382260;3.6;pT3;7c9z
1182660;4.1;3;7cbp
251820;2.87;pT3;7chk
114360;3.24;3;7ckb
150300;2.9;4;7ckc
531180;3.4;pT3;7cmk
995460;3.5;3;7cth
795180;2.79;1;7d0k
798240;2.95;1;7d0l
390900;3.9;pT3;7d3k
410820;3.68;pT3;7d3l
415380;3.94;pT3;7d3m
418560;3.49;pT3;7d3r
2070180;2.7;9;7dn2
1326360;4.11;7d;7dn5
714960;2.9;3;7dod
380160;3.2;pT3;7dpf
430740;3.8;pT3;7dpz
431220;3.6;pT3;7dq1
314460;3.8;pT3;7dq4
484680;3.2;pT3;7dq7
358440;3.1;pT3;7dst
335760;3.1;pT3;7eah
357900;3.8;pT3;7eai
443940;4.1;pT3;7eaj
495300;3.9;pT3;7eak
1569540;3.26;7l;7eel
305100;3.15;pT3;7eno
305220;3.4;pT3;7enp
408120;3.75;pT3;7eo0
204120;3.6;3;7eoy
272160;3.86;4;7ep6
78720;2.4;1;7epp
62520;3.3;1;7eq9
776880;3.9;3;7esd
