atoms;average_radius;tnumber;id
396960;161;pT3;1piv
398760;161;pT3;1po1
398760;161;pT3;1po2
362100;162;pT3;1pov
396960;161;pT3;1pvc
168480;139;3;1qbe
496740;154;pT3;1qgc
273600;175;4;1qgt
380160;155;pT3;1qju
380160;155;pT3;1qjx
380160;155;pT3;1qjy
242280;150;3;1qjz
312060;150;pT3;1qqp
376080;157;pT3;1r08
376080;157;pT3;1r09
373380;156;pT3;1r1a
302760;170;1;1rb8
377220;158;pT3;1rhi
376440;157;pT3;1rmu
375960;157;pT3;1ruc
375960;157;pT3;1rud
375900;157;pT3;1rue
375780;157;pT3;1ruf
375960;157;pT3;1rug
375960;157;pT3;1ruh
375960;157;pT3;1rui
375960;157;pT3;1ruj
481140;184;pT3;1rvf
246480;138;1;1s58
1004700;252;7d;1sid
1004700;252;7d;1sie
270720;150;3;1smv
63660;84;1;1stm
958980;246;7d;1sva
357180;155;pT3;1tme
375600;157;pT3;1tmf
139680;151;3;1tnv
215760;140;3;1u1y
3487800;352;13;1uf2
447780;171;pT3;1upn
386160;158;pT3;1v9u
87240;96;1;1vak
83880;92;1;1vb2
87240;91;1;1vb4
396960;161;pT3;1vba
396960;161;pT3;1vbb
396960;161;pT3;1vbc
397920;162;pT3;1vbd
396600;161;pT3;1vbe
376080;157;pT3;1vrh
245640;152;3;1w39
2286960;338;pT25;1w8x
190140;130;1;1wcd
271560;155;3;1x33
266340;149;3;1x35
87720;91;1;1x36
217920;138;1;1x9p
216300;137;1;1x9t
69600;97;1;1yc6
259020;139;1;1z14
259680;140;1;1z1c
399420;159;pT3;1z7s
522720;201;pT3;1z7z
1084260;320;4;1z8y
216900;140;3;1za7
313620;150;pT3;1zba
313620;149;pT3;1zbe
206760;138;3;1zdh
210660;135;3;1zdi
193740;139;3;1zdj
222300;135;3;1zdk
188580;142;3;1zse
188640;139;3;2b2d
211500;138;3;2b2e
212820;135;3;2b2g
456240;166;3;2bbv
208560;144;3;2bny
307200;168;1;2bpa
218760;139;3;2bq5
199620;135;3;2bs0
202260;140;3;2bs1
2943660;367;13;2btv
217380;88;3;2bu1
85620;96;1;2buk
214380;139;3;2c4q
237960;139;3;2c4y
240900;138;3;2c4z
229980;135;3;2c50
232020;137;3;2c51
212040;136;1;2c6s
216300;135;1;2c9f
214080;139;1;2c9g
260820;138;1;2cas
189720;135;1;2df7
329280;185;3;2e0z
900540;244;7l;2frp
902400;300;7l;2fs3
900420;299;7l;2fsy
886620;305;7l;2ft1
575580;295;7l;2fte
255600;152;3;2fz1
259500;152;3;2fz2
279480;175;4;2g33
277320;177;4;2g34
247740;140;1;2g8g
779280;206;3;2gh8
827820;260;7l;2gp1
192540;131;1;2gsy
376020;157;pT3;2hwb
376020;157;pT3;2hwc
373380;191;pT3;2hwd
373380;157;pT3;2hwe
373380;157;pT3;2hwf
210240;143;3;2iz8
209220;135;3;2iz9
206340;139;3;2izm
206700;88;3;2izn
271560;152;3;2izw
376140;154;pT3;2mev
173700;135;3;2ms2
398820;160;pT3;2plv
454620;168;3;2q23
454800;182;3;2q25
265680;137;1;2qa0
277500;176;4;2qij
997560;207;4;2qqp
376080;157;pT3;2r04
376080;157;pT3;2r06
376080;157;pT3;2r07
132720;297;3;2r6p
376080;157;pT3;2rm2
376140;157;pT3;2rmu
376080;157;pT3;2rr1
376080;157;pT3;2rs1
376080;157;pT3;2rs3
376080;157;pT3;2rs5
398520;173;3;2tbv
494040;187;2;2vf1
184320;141;3;2vf9
279540;149;3;2vq0
1586160;304;pT21;2w0c
171720;138;3;2w4y
171720;140;3;2w4z
330360;157;pT3;2wff
321840;157;pT3;2ws9
238560;152;3;2wws
312600;150;pT3;2wzr
391560;156;pT3;2x5i
322320;161;pT3;2xbo
1347600;341;4;2xfb
1345200;345;4;2xfc
257700;138;1;2xgk
240060;155;3;2xpj
769860;313;7l;2xvr
237300;153;pT3;2y26
1867200;334;4;2yew
422400;172;3;2zah
215400;138;1;2ztn
219480;138;1;2zzq
153060;277;7l;3c5b
375180;157;pT3;3cji
579180;285;7l;3ddx
386100;168;pT3;3dpr
815400;260;7l;3e8k
495360;197;pT3;3epc
493440;161;pT3;3epd
489120;159;pT3;3epf
355140;184;2;3es5
192540;129;1;3fbm
1568580;357;13;3gzt
3238920;310;NA;3gzu
215340;135;1;3hag
192480;132;1;3ide
1356840;286;7d;3iyj
4815180;348;2;3iyl
190080;176;2;3iym
508860;159;pT3;3iyp
2581740;352;13;3iyu
946320;303;3;3iyw
1921440;405;NA;3iz3
769860;264;7l;3izg
1932540;298;2;3izx
1908240;339;4;3j0c
1922820;426;1;3j17
702180;216;3;3j1p
248160;139;1;3j1q
323820;163;pT3;3j22
3268740;374;pT27;3j26
784800;230;3;3j27
277740;172;4;3j2v
1855680;337;4;3j2w
2672940;359;pT31;3j31
450900;200;1;3j3i
1443960;333;7l;3j40
673560;338;3;3j42
248220;186;1;3j4p
1479180;324;7l;3j4u
453600;171;pT3;3j69
456540;203;pT3;3j6a
1032840;298;7d;3j6r
441360;330;7d;3j7e
996600;292;7d;3j7g
216780;141;3;3j7l
217080;141;3;3j7m
217080;141;3;3j7n
952380;309;7l;3j7v
1069740;319;7l;3j7w
1069740;319;7l;3j7x
539460;184;pT3;3j8f
1415640;330;7d;3j8v
1402920;322;7d;3j8w
1829880;325;7d;3j8z
323700;227;pT3;3j91
539460;166;pT3;3j9f
114900;167;pT3;3jau
1935000;344;1;3jay
1934640;292;NA;3jaz
1934640;299;NA;3jb0
1934640;344;2;3jb1
1935000;275;2;3jb2
1935000;394;NA;3jb3
316320;156;pT3;3jb4
913920;300;7l;3jb5
245880;164;3;3jb8
795180;290;7d;3jba
456540;310;pT3;3jbc
453600;165;pT3;3jbd
457740;177;pT3;3jbe
455820;223;pT3;3jbf
454200;151;pT3;3jbg
93420;99;1;3jci
364320;169;1;3jcx
383100;190;pT3;3jd7
249240;141;1;3kic
249240;141;1;3kie
3246240;358;NA;3kz4
437940;155;3;3lob
741600;205;3;3m8l
3242880;316;NA;3n09
143760;115;1;3n7x
371760;164;pT3;3nap
247200;139;1;3ng9
246660;133;1;3ntt
247020;139;1;3oah
197400;127;1;3p0s
513780;254;7l;3p8q
519240;288;7l;3qpr
95640;99;1;3r0r
248160;140;1;3ra2
248160;137;1;3ra4
248160;137;1;3ra8
248160;140;1;3ra9
248160;139;1;3raa
1074120;211;4;3s6p
246000;139;1;3shm
330960;163;pT3;3tn9
247860;139;1;3ux1
390480;155;pT3;3vbf
390480;155;pT3;3vbh
323820;161;pT3;3vbo
323820;153;pT3;3vbr
390480;155;pT3;3vbs
323820;157;pT3;3vbu
380400;157;pT3;3vdd
390060;155;pT3;3zfe
390420;210;pT3;3zff
390420;154;pT3;3zfg
5662620;451;pT25;3zif
377400;172;3;3zx8
377040;187;3;3zx9
134220;165;3;3zxa
387120;160;pT3;4aed
280380;165;pT3;4agy
216360;138;3;4ang
223440;146;1;4aqq
225360;139;1;4ar2
87420;95;1;4bcu
158580;238;pT3;4bip
158580;157;pT3;4biq
710400;226;2;4btg
365160;252;13;4btq
683040;253;13;4bx4
484440;214;pT3;4c0u
484440;214;pT3;4c0y
541800;215;pT3;4c10
390360;155;pT3;4cdq
390360;156;pT3;4cdu
390360;155;pT3;4cdw
390360;155;pT3;4cdx
390360;156;pT3;4cew
390360;156;pT3;4cey
311100;154;pT3;4ctf
311940;156;pT3;4ctg
276120;139;1;4dpv
460260;174;3;4fsj
467580;168;3;4ftb
461100;168;3;4fte
460560;158;3;4fts
262500;140;1;4g0r
268920;177;4;4g93
383640;156;pT3;4gb3
263160;139;1;4gbt
311940;149;pT3;4gh4
323700;157;pT3;4gmp
247020;139;1;4iov
311880;149;pT3;4iv1
287520;149;pT3;4iv3
328080;161;pT3;4jgy
328080;161;pT3;4jgz
330840;193;pT3;4l3b
412140;173;3;4llf
176760;140;1;4mgu
315540;161;pT3;4n43
390900;154;pT3;4n53
92400;87;1;4nia
487140;197;3;4nwv
480960;165;3;4nww
92400;87;1;4oq8
92400;87;1;4oq9
233520;145;1;4pb6
374460;156;pT3;4pdw
387720;189;3;4pt2
392940;160;pT3;4q4v
391260;159;pT3;4q4w
390540;160;pT3;4q4x
391380;160;pT3;4q4y
237000;133;1;4qc8
321360;155;3;4qpg
343740;150;3;4qpi
261120;140;1;4qyk
75180;95;1;4rft
376080;157;pT3;4rhv
319380;158;pT3;4rqp
328680;157;pT3;4rr3
317100;178;pT3;4rs5
247440;135;1;4rso
281160;151;3;4sbv
85620;95;1;4v4m
5214540;460;pT25;4v4u
237060;153;pT3;4v5t
237060;151;pT3;4v5w
247260;143;1;4v86
273060;153;3;4v99
406320;125;3;4wiz
375420;156;pT3;4wm7
376620;157;pT3;4wm8
84780;92;1;4y4y
85380;92;1;4y5z
317160;208;pT3;4yvs
318300;195;pT3;4yvw
324240;150;pT3;4z92
57060;135;1;4zor
258840;139;1;4zpy
259980;154;pT3;5a32
264180;155;pT3;5a33
314580;160;pT3;5a8f
383880;156;pT3;5abj
306900;149;pT3;5ac9
314640;159;pT3;5aca
2137200;384;4;5any
347460;152;pT3;5aoo
329400;160;pT3;5apm
377580;152;pT3;5bnn
378000;157;pT3;5bno
378900;156;pT3;5bnp
387600;155;pT3;5c4w
366780;154;pT3;5c8c
381480;155;pT3;5c9a
353700;166;pT3;5cdc
360720;153;pT3;5cfc
360720;153;pT3;5cfd
63660;84;1;5cvz
63660;87;1;5cw0
272160;178;4;5d7y
311220;149;pT3;5d8a
307860;149;pT3;5ddj
247200;139;1;5egc
710400;225;2;5fj5
262920;153;pT3;5fmo
295740;159;pT3;5foj
962520;245;7d;5fua
421500;178;pT3;5g52
365220;178;pT3;5gka
1110180;256;3;5h37
246360;139;1;5ipi
240540;153;1;5ipk
656400;231;3;5ire
793560;230;3;5iz7
99720;102;1;5j36
99720;102;1;5j37
421740;187;pT3;5j96
442140;180;pT3;5j98
1301760;292;7d;5jb1
360420;155;pT3;5jzg
373260;154;pT3;5k0u
1336020;290;7d;5kep
1336020;290;7d;5keq
171120;138;3;5kip
376560;154;pT3;5ktz
377580;213;pT3;5ku0
359640;186;pT3;5ku2
367440;177;pT3;5kwl
1347780;327;7l;5l35
323880;161;pT3;5l7o
425460;186;pT3;5l7q
425460;186;pT3;5l8q
351960;159;pT3;5lk7
327660;161;pT3;5lk8
373800;158;pT3;5lsf
327840;164;pT3;5lvc
382380;161;pT3;5lwg
352560;168;pT3;5lwi
329160;150;pT3;5mjv
396300;172;pT3;5mm2
366900;166;pT3;5mqc
217380;138;3;5msf
399180;179;pT3;5mup
1403160;285;13;5muu
419100;186;pT3;5mv5
410220;186;pT3;5mv6
305220;149;pT3;5ne4
305700;149;pT3;5ned
306840;149;pT3;5nej
797040;249;pT3;5neu
353520;168;pT3;5o5b
353520;164;pT3;5o5p
774000;235;3;5o6a
1453200;286;pT21;5oac
372000;153;pT3;5osn
373800;158;pT3;5oyp
105120;173;pT3;5tsk
106260;223;pT3;5tsl
787680;276;3;5u4w
248220;137;1;5uf6
856140;286;3;5uhy
242760;135;1;5urf
242340;136;1;5us7
244620;141;1;5us9
1379700;331;7l;5uu5
3095040;440;13;5vf3
171720;135;3;5vly
1959120;335;4;5vu2
473460;178;pT3;5w3e
473460;177;pT3;5w3l
471240;179;pT3;5w3m
415500;182;pT3;5w3o
1398180;344;7l;5wk1
778860;237;3;5wsn
342360;162;pT3;5wte
320580;211;pT3;5wtf
538200;155;pT3;5wth
294540;165;pT3;5xs4
287940;162;pT3;5xs5
403980;165;pT3;5xs7
320100;164;pT3;5yhq
87360;95;1;5yl1
1178700;289;3;5ywo
12355500;617;16;5zap
92760;98;1;5zju
514200;161;pT3;5zud
517740;158;pT3;5zuf
5249700;367;1;5zvt
139740;157;1;6ab5
435360;180;3;6ab6
376980;161;pT3;6acu
289620;161;pT3;6acw
304980;156;pT3;6acy
305640;178;pT3;6acz
483660;190;pT3;6ad0
299640;177;pT3;6ad1
424560;198;pT3;6adl
461040;196;pT3;6adm
461880;149;pT3;6adr
362280;161;pT3;6ads
370620;161;pT3;6adt
369780;158;pT3;6aj0
321300;241;pT3;6aj2
269220;161;pT3;6aj3
423300;158;pT3;6aj7
521640;159;pT3;6aj9
383580;155;pT3;6aks
317880;161;pT3;6akt
297480;161;pT3;6aku
1007460;274;7l;6b0x
6008040;447;pT25;6b1t
591240;215;4;6b23
12820080;630;16;6b43
263460;138;1;6b9q
1421400;296;7d;6bsp
2122980;357;7d;6bt3
270960;178;4;6bvf
205920;157;3;6bvn
261180;137;1;6bwx
259560;141;1;6bx0
261180;153;1;6bx1
573720;343;7l;6c21
327840;331;4;6c22
248520;141;1;6cbe
13143720;627;16;6cgr
5983380;453;pT25;6cgv
789840;230;3;6co8
704940;215;3;6crj
346320;156;pT3;6crp
375720;154;pT3;6crr
324840;156;pT3;6crs
307440;164;pT3;6cru
360060;153;pT3;6cs3
334680;156;pT3;6cs4
338280;156;pT3;6cs5
321720;156;pT3;6cs6
301500;213;pT3;6csa
408900;156;pT3;6csg
304980;158;pT3;6csh
376140;156;pT3;6cv1
378360;156;pT3;6cv2
315300;158;pT3;6cv3
309780;157;pT3;6cv4
376560;157;pT3;6cv5
376620;156;pT3;6cvb
463920;158;pT3;6cx1
390900;157;pT3;6dij
390840;173;pT3;6diz
1675140;352;1;6djy
93060;99;1;6dzu
93000;100;1;6e2r
93000;101;1;6e2x
92520;101;1;6e2z
93000;101;1;6e30
93000;101;1;6e32
93000;101;1;6e34
93000;101;1;6e39
245880;139;1;6e9d
274320;170;4;6edj
373800;158;pT3;6egv
349140;160;pT3;6egx
310320;162;pT3;6eh1
403020;160;pT3;6eit
348180;159;pT3;6eiw
960660;248;7d;6esb
413880;189;pT3;6f5j
1058640;256;7d;6gg0
735240;204;3;6gsh
431520;172;pT3;6gv4
381840;158;pT3;6gzv
460200;168;3;6h2b
2658480;414;28d;6h82
2621460;412;28d;6h9c
365520;152;pT3;6hbg
311760;160;pT3;6hbh
300960;159;pT3;6hbj
213720;141;1;6hcr
283860;176;4;6htx
287700;175;4;6hu4
291600;175;4;6hu7
1403160;289;13;6hy0
578580;161;pT3;6i2k
1883280;401;7l;6i9e
122700;115;1;6i9g
1185480;323;7l;6ibc
248580;139;1;6ih9
292080;154;1;6ihb
344880;160;pT3;6iic
379620;155;pT3;6iij
314820;161;pT3;6iio
480240;157;pT3;6ilj
480240;173;pT3;6ilk
387900;161;pT3;6ill
570840;159;pT3;6ilm
388920;154;pT3;6iln
328140;159;pT3;6ilo
388920;159;pT3;6ilp
1436880;337;4;6imm
707760;206;3;6iuk
287880;159;3;6izl
2566620;454;13;6j3q
288540;145;1;6jcq
246720;144;1;6jcr
292800;142;1;6jcs
246660;137;1;6jct
540000;172;pT3;6jhq
541440;219;pT3;6jhr
538680;210;pT3;6jhs
537540;159;pT3;6jht
70500;87;1;6jja
284760;158;3;6jjc
284760;183;3;6jjd
292560;167;1;6l62
390900;161;pT3;6la3
390900;160;pT3;6la4
446880;172;pT3;6la5
564780;199;pT3;6la6
564780;199;pT3;6la7
390900;149;pT3;6lao
324300;158;pT3;6lap
209040;138;1;6lat
148140;114;1;6lb0
324300;158;pT3;6lb1
324300;158;pT3;6lbo
324300;158;pT3;6lbq
12500760;636;16;6lgl
12479220;631;16;6lgn
385380;156;pT3;6lha
305220;149;pT3;6lhb
298320;158;pT3;6lhc
384720;156;pT3;6lhk
304320;160;pT3;6lhl
297720;161;pT3;6lho
486240;158;pT3;6lhp
489600;184;pT3;6lhq
93060;63;1;6lm3
390480;158;pT3;6lqd
321840;171;1;6mf7
898260;251;3;6mid
413640;175;3;6mrl
407400;172;3;6mrm
204000;139;3;6msf
2131680;383;4;6mui
2131680;388;4;6mw9
2131680;389;4;6mwc
2131680;383;4;6mwv
2131680;383;4;6mwx
1876020;321;4;6mx4
326700;195;4;6mx7
360060;200;pT3;6mzi
428460;198;9;6mzx
18350520;852;169;6ncl
256140;139;1;6nf9
13118340;618;16;6nhj
1861080;333;4;6nk5
2378220;353;4;6nk6
2108100;336;4;6nk7
327540;152;1;6nn3
258000;162;1;6nxe
284400;153;1;6nz0
324840;160;pT3;6o06
1871280;405;7l;6o3h
247680;139;1;6o9r
260820;140;1;6oas
1576320;328;4;6odf
3465840;447;43;6oj0
1752660;438;13;6okb
97980;101;1;6ola
1805520;300;13;6oma
1805520;436;13;6omc
711840;209;3;6otf
226440;145;1;6ouc
898920;243;4;6ouu
705180;207;3;6p4j
705180;209;3;6p4k
274980;161;3;6p4l
307080;162;pT3;6p9o
295500;167;pT3;6p9w
414120;167;pT3;6ppo
413940;200;pT3;6psf
305820;163;pT3;6psz
248160;138;1;6pwa
470460;152;pT3;6q0b
14313120;628;16;6q1f
255120;152;pT3;6qcc
6360540;461;pT25;6qi5
2542200;409;28d;6qt9
340560;277;9;6r24
1041600;338;7l;6r3a
1041600;299;7l;6r3b
232680;184;3;6rj0
392040;167;pT3;6rjf
101400;100;1;6rpk
93960;104;1;6rpl
101400;102;1;6rpo
93060;159;3;6rrs
192480;146;3;6rtk
1041540;324;7l;6rtl
762960;220;1;6s2c
67200;92;1;6s44
195360;145;3;6scl
195660;148;3;6sco
378240;163;pT3;6shl
372780;167;pT3;6sk5
373260;156;pT3;6sk6
361500;156;pT3;6sk7
383400;157;pT3;6smg
319800;178;pT3;6snb
520260;189;pT3;6snw
104100;115;1;6ssj
307920;168;3;6ssm
377340;151;pT3;6t40
377160;151;pT3;6t48
377340;151;pT3;6t4c
337140;198;4;6tap
325920;195;4;6taq
379320;153;pT3;6thd
381840;153;pT3;6thn
265200;170;4;6tik
391140;159;pT3;6tsd
395460;206;3;6tsw
252840;143;1;6u0r
249120;137;1;6u0v
248160;144;1;6u20
248160;141;1;6u2v
248280;140;1;6u3q
247500;142;1;6u95
248160;144;1;6ubm
390900;156;pT3;6uh1
390900;155;pT3;6uh6
390900;155;pT3;6uh7
204420;151;3;6ui6
272880;169;4;6ui7
248700;116;1;6v10
248700;141;1;6v12
247680;140;1;6v1g
248280;137;1;6v1t
248280;130;1;6v1z
131760;123;1;6vfj
214200;143;3;6voc
1116480;362;4;6vyv
271680;177;4;6vzp
1171200;367;4;6w09
261840;168;4;6w0k
13502820;630;16;6w19
1103040;363;4;6w1c
691200;334;4;6w2u
477000;183;pT3;6wds
478740;184;pT3;6wdt
270960;177;4;6wfs
244740;139;1;6wft
244740;139;1;6wfu
157680;118;1;6wh3
151800;139;1;6wh7
124740;119;1;6wkv
259740;139;1;6x2i
259200;143;1;6x2k
133440;123;1;6x8m
133440;122;1;6x8t
1542360;354;7l;6xgq
1854000;347;4;6xo4
2252400;409;4;6xob
557640;207;1;6y83
154260;144;3;6yf7
184320;141;3;6yf9
236880;138;3;6yfa
157200;141;1;6yfb
169200;139;3;6yfc
253920;144;3;6yfd
178080;137;3;6yfe
174600;142;3;6yff
208800;136;3;6yfh
157140;161;3;6yfj
186480;153;3;6yfk
190560;138;3;6yfl
200520;139;3;6yfm
202920;146;3;6yfn
174960;137;3;6yfo
232740;143;3;6yfp
183600;160;3;6yfq
56340;135;1;6yfr
169800;144;3;6yfs
151020;147;3;6yft
389220;189;4;6ygh
307920;186;4;6ygi
496380;181;pT3;6z3p
493680;184;pT3;6z3q
337500;156;pT3;6z6w
5656080;443;pT25;6z7n
482280;186;2;6z8d
482760;186;2;6z8e
479160;186;2;6z8f
384000;156;pT3;6zck
379500;159;pT3;6zcl
105060;118;1;6zlo
979080;249;7d;6zlz
969900;249;7d;6zml
383820;213;pT3;6zms
787140;224;3;6zqu
796680;236;3;6zqv
903240;273;3;6zqw
290520;160;4;7a4i
289560;158;4;7a4j
276720;176;4;7abl
1051080;210;4;7anm
1047840;239;4;7ata
90960;127;1;7b3y
378120;157;pT3;7bc3
316920;161;pT3;7be9
386340;156;pT3;7bg6
413220;164;pT3;7bg7
331860;158;pT3;7bg8
94500;116;1;7bgj
383520;159;pT3;7bgk
714660;206;3;7bjp
121500;116;1;7boj
12812160;618;16;7bsi
1121340;257;3;7bu8
1121880;259;3;7bua
975780;257;3;7bub
972720;258;3;7bud
12529080;647;16;7bw6
373440;156;pT3;7bzn
369540;156;pT3;7bzo
511380;193;pT3;7bzt
510900;193;pT3;7bzu
306540;161;pT3;7c4t
307620;158;pT3;7c4w
299880;154;pT3;7c4y
299160;199;pT3;7c4z
575880;155;pT3;7c80
568680;212;pT3;7c81
386700;157;pT3;7c9s
340440;163;pT3;7c9t
343500;215;pT3;7c9u
560580;155;pT3;7c9v
476100;163;pT3;7c9w
385500;159;pT3;7c9x
382200;151;pT3;7c9y
382260;179;pT3;7c9z
1182660;285;3;7cbp
251820;153;pT3;7chk
114360;109;3;7ckb
150300;122;4;7ckc
531180;156;pT3;7cmk
995460;254;3;7cth
795180;223;1;7d0k
798240;223;1;7d0l
390900;169;pT3;7d3k
410820;172;pT3;7d3l
415380;214;pT3;7d3m
418560;149;pT3;7d3r
2070180;366;9;7dn2
1326360;297;7d;7dn5
714960;204;3;7dod
380160;160;pT3;7dpf
430740;158;pT3;7dpz
431220;171;pT3;7dq1
314460;179;pT3;7dq4
484680;186;pT3;7dq7
358440;170;pT3;7dst
335760;164;pT3;7eah
357900;175;pT3;7eai
443940;163;pT3;7eaj
495300;154;pT3;7eak
1569540;335;7l;7eel
305100;151;pT3;7eno
305220;202;pT3;7enp
408120;158;pT3;7eo0
204120;159;3;7eoy
272160;178;4;7ep6
78720;117;1;7epp
62520;107;1;7eq9
776880;237;3;7esd
2049780;365;9;7f2p
1488300;349;9;7f38
264960;175;4;7fdj
401040;200;pT3;7fei
401460;174;pT3;7fej
12047880;631;16;7fj1
11745540;633;16;7fj3
247860;139;1;7jot
682740;248;4;7jw1
128460;120;1;7k5w
707640;203;3;7k6v
895260;249;3;7kcr
249480;136;1;7kfr
238560;165;3;7kjp
1442700;329;7l;7kmx
1845840;343;4;7ko8
246720;138;1;7kp3
288600;141;1;7kpn
129120;119;1;7kq5
784020;227;3;7kv8
771060;231;3;7kv9
770100;232;3;7kva
765180;231;3;7kvb
1349460;289;7d;7kzf
243240;131;1;7l0u
243240;131;1;7l0v
242760;133;1;7l0w
246480;136;1;7l0x
245760;133;1;7l0y
801240;267;3;7l30
248040;140;1;7l5q
248040;139;1;7l5u
247920;140;1;7l6a
247920;140;1;7l6b
247380;140;1;7l6e
247380;140;1;7l6f
248220;139;1;7l6h
248220;139;1;7l6i
777300;232;3;7lcg
777300;232;3;7lch
125700;125;1;7lii
129060;127;1;7lij
129180;127;1;7lik
128520;127;1;7lil
125820;127;1;7lim
127260;122;1;7lis
125220;120;1;7lit
243240;133;1;7lnk
248040;141;1;7ltm
624780;224;1;7m12
366780;156;1;7m3l
254280;139;1;7m3m
360240;172;1;7m3n
254280;139;1;7m3o
536880;227;4;7mh2
679500;207;3;7mry
205620;135;3;7msf
247860;137;1;7mt0
247860;140;1;7mtg
247860;140;1;7mtp
247860;140;1;7mtw
247860;139;1;7mtz
128460;118;1;7mu1
247860;139;1;7mua
1979280;340;4;7n1h
1908240;340;4;7n1i
707160;209;3;7n6y
283200;158;3;7n7f
247800;138;1;7na6
335280;186;2;7ncr
104340;118;1;7no0
155520;174;3;7no1
244440;162;pT3;7nul
245400;159;pT3;7num
386340;188;pT3;7nun
285600;158;pT3;7nuo
386340;155;pT3;7nuq
283620;176;4;7oco
283860;176;4;7ocw
283860;176;4;7od4
282300;176;4;7od6
280200;176;4;7od7
282060;176;4;7od8
121560;117;1;7odw
282240;177;4;7oen
281580;176;4;7oev
281580;176;4;7oew
391740;159;pT3;7oj7
378120;158;pT3;7opx
94980;116;1;7ott
214980;144;3;7pe1
214020;143;3;7pe2
95520;121;1;7q5r
6068280;447;pT25;7rd1
246720;140;1;7rk8
247500;141;1;7rk9
247260;139;1;7rl1
248580;140;1;7rwl
248580;140;1;7rwt
979740;213;4;7rwz
1377180;294;7d;7ryj
247680;139;1;7s1w
381840;186;3;7s20
122460;117;1;7s21
394080;190;3;7s2t
399120;185;3;7s4q
6276060;455;pT25;7s78
1908240;337;4;7sfu
2542200;398;4;7sfv
231600;151;3;7sqy
214620;151;3;7sqz
6340320;458;pT25;7tau
362700;156;pT3;7thx
245460;138;1;7u94
242520;138;1;7u95
242520;139;1;7u96
242520;138;1;7u97
785880;239;3;7v3f
1003560;263;3;7v3g
1112400;267;3;7v3h
1106700;281;7;7vi9
1459500;367;7;7vii
2478420;360;13;7vrn
2462520;361;13;7vrp
382500;159;pT3;7vxh
436200;179;pT3;7vxz
381720;159;pT3;7vy0
439380;169;pT3;7vy5
437520;171;pT3;7vy6
429840;176;pT3;7vyk
419580;171;pT3;7vyl
429720;213;pT3;7vym
440760;180;pT3;7w14
381660;161;pT3;7w17
247920;136;1;7wjw
292080;139;1;7wjx
328080;163;pT3;7wl3
251040;139;1;7wqo
293460;141;1;7wqp
333360;163;pT3;7xb2
447060;165;pT3;7xxa
374220;192;pT3;7xxg
373440;164;pT3;7xxj
777960;245;3;7z51
73980;150;1;amv
3218160;339;NA;hrtvc1
2505060;355;13;hrtvc2
254280;153;pT3;rcmv
